Train Dataset,Train LLM,Test Dataset,Test LLM,Accuracy,F1 Score,AUROC,AI Recall (label=0),Human Recall (label=1)
hindisumm,gemini,hindisumm,gemini,0.916,0.9176470588235294,0.984704,0.896,0.936
hindisumm,gemini,hindisumm,llama3,0.532,0.6722689075630253,0.744928,0.104,0.96
hindisumm,gemini,hindisumm,qwen3,0.685,0.7576923076923077,0.8404641044234954,0.3908629441624365,0.9704433497536946
hindisumm,gemini,xquad,gemini,0.8020833333333334,0.8041237113402062,0.8841145833333334,0.7916666666666666,0.8125
hindisumm,llama3,hindisumm,gemini,0.492,0.6595174262734584,0.6046720000000001,0.0,0.984
hindisumm,llama3,hindisumm,llama3,0.964,0.963855421686747,0.987648,0.968,0.96
hindisumm,llama3,hindisumm,qwen3,0.8925,0.9029345372460496,0.9780950713910628,0.7969543147208121,0.9852216748768472
hindisumm,llama3,xquad,llama3,0.5555555555555556,0.2857142857142857,0.7634567901234568,0.9333333333333332,0.1777777777777777
hindisumm,qwen3,hindisumm,gemini,0.504,0.6684491978609626,0.7793920000000001,0.008,1.0
hindisumm,qwen3,hindisumm,llama3,0.936,0.9393939393939394,0.989568,0.88,0.992
hindisumm,qwen3,hindisumm,qwen3,0.9825,0.982716049382716,0.9986496961816408,0.9847715736040608,0.9802955665024632
hindisumm,qwen3,xquad,qwen3,0.8531468531468531,0.8264462809917356,0.9769170579029732,1.0,0.704225352112676
xquad,gemini,hindisumm,gemini,0.608,0.3950617283950617,0.809024,0.96,0.256
xquad,gemini,xquad,gemini,0.9583333333333334,0.9583333333333334,0.9926215277777778,0.9583333333333334,0.9583333333333334
xquad,gemini,xquad,llama3,0.5555555555555556,0.6923076923076923,0.8143209876543209,0.1111111111111111,1.0
xquad,gemini,xquad,qwen3,0.8531468531468531,0.8679245283018868,0.9634194053208138,0.7361111111111112,0.971830985915493
xquad,llama3,hindisumm,llama3,0.516,0.6591549295774648,0.6908160000000001,0.096,0.936
xquad,llama3,xquad,gemini,0.5208333333333334,0.6714285714285714,0.3216145833333333,0.0625,0.9791666666666666
xquad,llama3,xquad,llama3,0.9222222222222224,0.9247311827956988,0.9841975308641976,0.8888888888888888,0.9555555555555556
xquad,llama3,xquad,qwen3,0.5804195804195804,0.7,0.6742957746478874,0.1805555555555555,0.9859154929577464
xquad,qwen3,hindisumm,qwen3,0.5525,0.2382978723404255,0.6957065339701433,0.9796954314720812,0.1379310344827586
xquad,qwen3,xquad,gemini,0.7916666666666666,0.8245614035087719,0.974826388888889,0.6041666666666666,0.9791666666666666
xquad,qwen3,xquad,llama3,0.5333333333333333,0.676923076923077,0.8654320987654321,0.0888888888888888,0.9777777777777776
xquad,qwen3,xquad,qwen3,0.993006993006993,0.9929078014184396,0.999413145539906,1.0,0.9859154929577464
hindisumm,llama3,xquad,llama3,0.5555555555555556,0.2857142857142857,0.7634567901234568,0.9333333333333333,0.17777777777777778
hindisumm,qwen3,xquad,qwen3,0.8531468531468531,0.8264462809917356,0.9769170579029733,1.0,0.704225352112676
xquad,llama3,hindisumm,llama3,0.516,0.6591549295774648,0.6908160000000001,0.096,0.936
xquad,qwen3,hindisumm,qwen3,0.5525,0.23829787234042554,0.6957065339701433,0.9796954314720813,0.13793103448275862
